model,trial,step,inventory_size
with_fallback,13,12,16
with_fallback,13,13,16
with_fallback,13,14,17
with_fallback,13,15,18
with_fallback,13,16,18
with_fallback,13,17,19
with_fallback,13,18,21
with_fallback,13,19,22
with_fallback,13,20,24
with_fallback,13,21,25
with_fallback,13,22,26
with_fallback,13,23,26
with_fallback,13,24,26
with_fallback,13,25,27
with_fallback,13,26,28
with_fallback,13,27,29
with_fallback,13,28,30
with_fallback,13,29,31
with_fallback,13,30,32
with_fallback,13,31,33
with_fallback,13,32,34
with_fallback,13,33,35
with_fallback,13,34,36
with_fallback,13,35,37
with_fallback,13,36,37
with_fallback,13,37,37
with_fallback,13,38,38
with_fallback,13,39,39
with_fallback,13,40,39
with_fallback,13,41,39
with_fallback,13,42,40
with_fallback,13,43,41
with_fallback,13,44,42
with_fallback,13,45,44
with_fallback,13,46,44
with_fallback,13,47,44
with_fallback,13,48,44
with_fallback,13,49,45
with_fallback,13,50,47
with_fallback,14,1,5
with_fallback,14,2,6
with_fallback,14,3,7
with_fallback,14,4,8
with_fallback,14,5,9
with_fallback,14,6,10
with_fallback,14,7,11
with_fallback,14,8,12
with_fallback,14,9,13
with_fallback,14,10,14
with_fallback,14,11,15
with_fallback,14,12,16
with_fallback,14,13,16
with_fallback,14,14,17
with_fallback,14,15,18
with_fallback,14,16,20
with_fallback,14,17,21
with_fallback,14,18,23
with_fallback,14,19,23
with_fallback,14,20,24
with_fallback,14,21,25
with_fallback,14,22,25
with_fallback,14,23,26
with_fallback,14,24,27
with_fallback,14,25,28
with_fallback,14,26,29
with_fallback,14,27,30
with_fallback,14,28,31
with_fallback,14,29,32
with_fallback,14,30,33
with_fallback,14,31,34
with_fallback,14,32,35
with_fallback,14,33,36
with_fallback,14,34,36
with_fallback,14,35,36
with_fallback,14,36,36
with_fallback,14,37,37
with_fallback,14,38,38
with_fallback,14,39,39
with_fallback,14,40,40
with_fallback,14,41,41
with_fallback,14,42,41
with_fallback,14,43,42
with_fallback,14,44,44
with_fallback,14,45,46
with_fallback,14,46,47
with_fallback,14,47,47
with_fallback,14,48,47
with_fallback,14,49,48
with_fallback,14,50,49
with_fallback,15,1,5
with_fallback,15,2,6
with_fallback,15,3,7
with_fallback,15,4,8
with_fallback,15,5,9
with_fallback,15,6,10
with_fallback,15,7,11
with_fallback,15,8,12
with_fallback,15,9,13
with_fallback,15,10,14
with_fallback,15,11,15
with_fallback,15,12,16
with_fallback,15,13,16
with_fallback,15,14,17
with_fallback,15,15,18
with_fallback,15,16,20
with_fallback,15,17,21
with_fallback,15,18,23
with_fallback,15,19,23
with_fallback,15,20,24
with_fallback,15,21,25
with_fallback,15,22,25
with_fallback,15,23,26
with_fallback,15,24,27
with_fallback,15,25,28
with_fallback,15,26,29
with_fallback,15,27,30
with_fallback,15,28,31
with_fallback,15,29,32
with_fallback,15,30,33
with_fallback,15,31,34
with_fallback,15,32,35
with_fallback,15,33,36
with_fallback,15,34,36
with_fallback,15,35,36
with_fallback,15,36,37
with_fallback,15,37,38
with_fallback,15,38,38
with_fallback,15,39,38
with_fallback,15,40,38
with_fallback,15,41,39
with_fallback,15,42,40
with_fallback,15,43,41
with_fallback,15,44,41
with_fallback,15,45,43
with_fallback,15,46,43
with_fallback,15,47,44
with_fallback,15,48,46
with_fallback,15,49,47
with_fallback,15,50,48
with_fallback,16,1,5
with_fallback,16,2,6
with_fallback,16,3,7
with_fallback,16,4,8
with_fallback,16,5,9
with_fallback,16,6,10
with_fallback,16,7,11
with_fallback,16,8,12
with_fallback,16,9,13
with_fallback,16,10,14
with_fallback,16,11,15
with_fallback,16,12,16
with_fallback,16,13,16
with_fallback,16,14,17
with_fallback,16,15,18
with_fallback,16,16,20
with_fallback,16,17,21
with_fallback,16,18,23
with_fallback,16,19,23
with_fallback,16,20,24
with_fallback,16,21,25
with_fallback,16,22,25
with_fallback,16,23,26
with_fallback,16,24,27
with_fallback,16,25,28
with_fallback,16,26,29
with_fallback,16,27,30
with_fallback,16,28,31
with_fallback,16,29,32
with_fallback,16,30,33
with_fallback,16,31,34
with_fallback,16,32,35
with_fallback,16,33,36
with_fallback,16,34,36
with_fallback,16,35,36
with_fallback,16,36,37
with_fallback,16,37,38
with_fallback,16,38,38
with_fallback,16,39,38
with_fallback,16,40,39
with_fallback,16,41,40
with_fallback,16,42,41
with_fallback,16,43,41
with_fallback,16,44,43
with_fallback,16,45,43
with_fallback,16,46,44
with_fallback,16,47,46
with_fallback,16,48,47
with_fallback,16,49,48
with_fallback,16,50,49
with_fallback,17,1,5
with_fallback,17,2,6
with_fallback,17,3,7
with_fallback,17,4,8
with_fallback,17,5,9
with_fallback,17,6,10
with_fallback,17,7,11
with_fallback,17,8,12
with_fallback,17,9,13
with_fallback,17,10,14
with_fallback,17,11,15
with_fallback,17,12,16
with_fallback,17,13,16
with_fallback,17,14,17
with_fallback,17,15,18
with_fallback,17,16,20
with_fallback,17,17,21
with_fallback,17,18,23
with_fallback,17,19,23
with_fallback,17,20,24
with_fallback,17,21,25
with_fallback,17,22,26
with_fallback,17,23,27
with_fallback,17,24,28
with_fallback,17,25,29
with_fallback,17,26,30
with_fallback,17,27,31
with_fallback,17,28,32
with_fallback,17,29,33
with_fallback,17,30,34
with_fallback,17,31,35
with_fallback,17,32,36
with_fallback,17,33,36
with_fallback,17,34,37
with_fallback,17,35,38
with_fallback,17,36,38
with_fallback,17,37,39
with_fallback,17,38,40
with_fallback,17,39,41
with_fallback,17,40,43
with_fallback,17,41,43
with_fallback,17,42,43
with_fallback,17,43,44
with_fallback,17,44,44
with_fallback,17,45,46
with_fallback,17,46,47
with_fallback,17,47,48
with_fallback,17,48,49
with_fallback,17,49,50
with_fallback,17,50,51
with_fallback,18,1,5
with_fallback,18,2,6
with_fallback,18,3,7
with_fallback,18,4,8
with_fallback,18,5,9
with_fallback,18,6,10
with_fallback,18,7,11
with_fallback,18,8,12
with_fallback,18,9,13
with_fallback,18,10,14
with_fallback,18,11,15
with_fallback,18,12,16
with_fallback,18,13,16
with_fallback,18,14,17
with_fallback,18,15,18
with_fallback,18,16,20
with_fallback,18,17,21
with_fallback,18,18,23
with_fallback,18,19,23
with_fallback,18,20,24
with_fallback,18,21,25
with_fallback,18,22,25
with_fallback,18,23,26
with_fallback,18,24,27
with_fallback,18,25,28
with_fallback,18,26,29
with_fallback,18,27,30
with_fallback,18,28,31
with_fallback,18,29,32
with_fallback,18,30,33
with_fallback,18,31,34
with_fallback,18,32,35
with_fallback,18,33,36
with_fallback,18,34,36
with_fallback,18,35,36
with_fallback,18,36,37
with_fallback,18,37,38
with_fallback,18,38,38
with_fallback,18,39,38
with_fallback,18,40,39
with_fallback,18,41,40
with_fallback,18,42,41
with_fallback,18,43,41
with_fallback,18,44,43
with_fallback,18,45,43
with_fallback,18,46,44
with_fallback,18,47,46
with_fallback,18,48,47
with_fallback,18,49,48
with_fallback,18,50,49
with_fallback,19,1,5
with_fallback,19,2,6
with_fallback,19,3,7
with_fallback,19,4,8
with_fallback,19,5,9
with_fallback,19,6,10
with_fallback,19,7,11
with_fallback,19,8,12
with_fallback,19,9,13
with_fallback,19,10,14
with_fallback,19,11,15
with_fallback,19,12,16
with_fallback,19,13,16
with_fallback,19,14,17
with_fallback,19,15,19
with_fallback,19,16,20
with_fallback,19,17,22
with_fallback,19,18,23
with_fallback,19,19,24
with_fallback,19,20,24
with_fallback,19,21,25
with_fallback,19,22,25
with_fallback,19,23,26
with_fallback,19,24,26
with_fallback,19,25,26
with_fallback,19,26,27
with_fallback,19,27,28
with_fallback,19,28,29
with_fallback,19,29,30
with_fallback,19,30,31
with_fallback,19,31,32
with_fallback,19,32,33
with_fallback,19,33,34
with_fallback,19,34,35
with_fallback,19,35,36
with_fallback,19,36,37
with_fallback,19,37,37
with_fallback,19,38,38
with_fallback,19,39,39
with_fallback,19,40,39
with_fallback,19,41,40
with_fallback,19,42,41
with_fallback,19,43,42
with_fallback,19,44,44
with_fallback,19,45,44
with_fallback,19,46,45
with_fallback,19,47,45
with_fallback,19,48,47
with_fallback,19,49,48
with_fallback,19,50,48
with_fallback,20,1,5
with_fallback,20,2,6
with_fallback,20,3,7
with_fallback,20,4,8
with_fallback,20,5,9
with_fallback,20,6,10
with_fallback,20,7,11
with_fallback,20,8,12
with_fallback,20,9,13
with_fallback,20,10,14
with_fallback,20,11,15
with_fallback,20,12,16
with_fallback,20,13,16
with_fallback,20,14,17
with_fallback,20,15,19
with_fallback,20,16,20
with_fallback,20,17,22
with_fallback,20,18,23
with_fallback,20,19,23
with_fallback,20,20,23
with_fallback,20,21,24
with_fallback,20,22,25
with_fallback,20,23,25
with_fallback,20,24,26
with_fallback,20,25,27
with_fallback,20,26,28
with_fallback,20,27,29
with_fallback,20,28,30
with_fallback,20,29,31
with_fallback,20,30,32
with_fallback,20,31,33
with_fallback,20,32,34
with_fallback,20,33,35
with_fallback,20,34,36
with_fallback,20,35,36
with_fallback,20,36,37
with_fallback,20,37,38
with_fallback,20,38,38
with_fallback,20,39,38
with_fallback,20,40,38
with_fallback,20,41,39
with_fallback,20,42,40
with_fallback,20,43,41
with_fallback,20,44,43
with_fallback,20,45,43
with_fallback,20,46,43
with_fallback,20,47,44
with_fallback,20,48,46
with_fallback,20,49,47
with_fallback,20,50,48
